area,bedrooms,datetime,geotag,has_image,has_map,id,name,price,repost_of,url,where
1300ft2,3,2019-04-08 09:39,"(43.857755, -79.437602)",True,True,6860996957,Spacious 3 Bedroom Townhome In The Heart Of Richmond Hill,$620000,,https://toronto.craigslist.org/tor/reb/d/richmond-hill-spacious-3-bedroom/6860996957.html,85 Baif Blvd
,,2019-04-08 09:34,"(44.537999, -79.970984)",False,True,6861001280,"BUILDING LOT IN TOWN OF SPRINGWATER, NEAR WASAGA BEACH",$0,,https://toronto.craigslist.org/tor/reo/d/wasaga-beach-building-lot-in-town-of/6861001280.html,HIGHWAY 92 AND VIGO RD.
850ft2,2,2019-04-08 09:24,"(43.718783, -79.40089)",True,True,6860993619,Bright & Spacious Condo Unit In The Heart Of Thornhill,$598000,,https://toronto.craigslist.org/tor/reb/d/toronto-bright-spacious-condo-unit-in/6860993619.html,7171 Yonge St
1100ft2,1,2019-04-08 09:18,"(43.705922, -79.26545)",True,True,6860980883,Well Designed Open Concept Condo Unit,$585900,,https://toronto.craigslist.org/tor/reb/d/scarborough-well-designed-open-concept/6860980883.html,481 Rupert Ave
1300ft2,3,2019-04-08 09:17,"(43.827627, -79.302037)",True,True,6860975973,Beautiful Open Concept Townhouse Unit In Faithful Way,$579000,,https://toronto.craigslist.org/tor/reb/d/markham-beautiful-open-concept/6860975973.html,95 Faithful Way
950ft2,2,2019-04-08 09:06,"(43.8477, -79.383087)",True,True,6860970840,Renovated Spacious Condo Unit In Heart Of Richmond Hill,$559000,,https://toronto.craigslist.org/tor/reb/d/richmond-hill-renovated-spacious-condo/6860970840.html,9015 Leslie St
1300ft2,2,2019-04-08 08:57,"(43.858917, -79.581221)",True,True,6860962113,Newer Spacious 2 Bedroom Condo Unit In Major Mackenzie Dr,$557000,,https://toronto.craigslist.org/tor/reb/d/woodbridge-newer-spacious-2-bedroom/6860962113.html,3865 Major Mackenzie Dr
730ft2,,2019-04-08 08:47,"(43.748157, -79.525995)",False,True,6850997358,FINCH & HIGHWAY 400- Industrial,$595,6653675207,https://toronto.craigslist.org/tor/reo/d/north-york-finch-highway-400-industrial/6850997358.html,415 Oakdale Road
1100ft2,2,2019-04-08 08:45,"(43.808469, -79.449466)",True,True,6860957312,Fully Renovated Open Concept Condo Unit In Bathurst St,$549000,,https://toronto.craigslist.org/tor/reb/d/thornhill-fully-renovated-open-concept/6860957312.html,7601 Bathurst St
950ft2,2,2019-04-08 08:27,"(44.05021, -79.430074)",True,True,6860953546,Spacious 2 Bedroom Condo Unit With Balcony,$547000,,https://toronto.craigslist.org/tor/reb/d/newmarket-spacious-2-bedroom-condo-unit/6860953546.html,900 Bogart Mill Tr
