area,bedrooms,datetime,geotag,has_image,has_map,id,name,price,repost_of,url,where
,,2019-04-24 00:56,"(8.635769, -83.161697)",True,True,6865924690,COSTA RICA - 42 ACRES - Ocean View Property with 2 Homes !,$0,6788156577,https://toronto.craigslist.org/tor/reb/d/toronto-costa-rica-42-acres-ocean-view/6865924690.html,"Golfo Dulce, Costa Rica"
1460ft2,3,2019-04-24 00:38,"(45.321209, -79.228602)",True,True,6873435675,"Huntsville ONT - Townhouse, 3 Bdrm/2.5 Baths - View of Lake - $374,900",$374900,,https://toronto.craigslist.org/tor/reo/d/huntsville-huntsville-ont-townhouse-3/6873435675.html,"Main Street Huntsville, Ontario Canada"
1860ft2,4,2019-04-23 23:50,"(49.869481, -124.511036)",True,True,6873421342,Powell River BC Lakefront,$720000,,https://toronto.craigslist.org/tor/reo/d/powell-river-powell-river-bc-lakefront/6873421342.html,Powell River
575ft2,1,2019-04-23 23:07,"(43.769743, -79.36961)",True,True,6873405597,Beautiful 1+1 Leslie/Sheppard area condo for sale!,$415000,,https://toronto.craigslist.org/tor/reb/d/north-york-beautiful-11-leslie-sheppard/6873405597.html,Toronto
,1,2019-04-23 21:55,"(43.653118, -79.370401)",True,True,6873373631,2 Storey 1 Bedroom Loft With Balcony Downtown,$579000,,https://toronto.craigslist.org/tor/reb/d/toronto-2-storey-1-bedroom-loft-with/6873373631.html,
,1,2019-04-23 21:47,"(43.658778, -79.369074)",True,True,6873369688,Exposed Large Ductwork 1 Bedroom Hard Loft Downtown,$563000,,https://toronto.craigslist.org/tor/reb/d/toronto-exposed-large-ductwork-1/6873369688.html,
,4,2019-04-23 21:42,"(43.775569, -79.316381)",True,True,6873367109,"Nice home near Warden and Sheppard approx $877,000+",$0,,https://toronto.craigslist.org/tor/reb/d/scarborough-nice-home-near-warden-and/6873367109.html,Toronto
,1,2019-04-23 21:36,"(43.642909, -79.407717)",True,True,6873363350,King West Incredible 1 Bedroom Plus Den Hard Loft,$799000,,https://toronto.craigslist.org/tor/reb/d/toronto-king-west-incredible-1-bedroom/6873363350.html,
,2,2019-04-23 21:36,"(43.759205, -79.199638)",True,True,6873363261,"Needed condo near Eglington and Kingston approx $422,000+",$0,,https://toronto.craigslist.org/tor/reb/d/scarborough-needed-condo-near-eglington/6873363261.html,Toronto
,1,2019-04-23 21:19,"(43.65744, -79.349828)",True,True,6873354083,Beautiful 1 Bedroom Brick And Beam Authentic Hard Loft,$774900,,https://toronto.craigslist.org/tor/reb/d/toronto-beautiful-1-bedroom-brick-and/6873354083.html,
1020ft2,2,2019-04-23 20:58,"(43.70052, -79.447889)",True,True,6858159363,2 Bedroom Plus Den And Terrace Art Deco Hard Loft,$725000,,https://toronto.craigslist.org/tor/reb/d/york-2-bedroom-plus-den-and-terrace-art/6858159363.html,
,3,2019-04-23 20:58,"(43.656075, -79.362753)",True,True,6862527178,LIVE/WORK Space Available On Queen East,$749000,6809555087,https://toronto.craigslist.org/tor/reb/d/toronto-live-work-space-available-on/6862527178.html,
,1,2019-04-23 20:56,"(43.657502, -79.349785)",True,True,6873340755,TONS Of Wood Large 1 Bedroom East End Hard Loft,$765000,6818160140,https://toronto.craigslist.org/tor/reb/d/toronto-tons-of-wood-large-1-bedroom/6873340755.html,
,2,2019-04-23 20:56,"(43.701203, -79.446902)",True,True,6862526892,Eglinton West Large And Bright 2 Bedroom Loft,$779000,6835524322,https://toronto.craigslist.org/tor/reb/d/york-eglinton-west-large-and-bright-2/6862526892.html,
,1,2019-04-23 20:55,"(43.657223, -79.349828)",True,True,6873339707,East Side Brick And Beam 1 Bedroom Plus Den Authentic Hard Loft,$948000,6702409354,https://toronto.craigslist.org/tor/reb/d/toronto-east-side-brick-and-beam-1/6873339707.html,
,2,2019-04-23 20:54,"(43.678063, -79.301345)",True,True,6868193161,Upper Beaches 2 Bedroom Loft With Private Rooftop Terrace,$949900,,https://toronto.craigslist.org/tor/reb/d/toronto-upper-beaches-2-bedroom-loft/6868193161.html,
1225ft2,2,2019-04-23 20:54,"(43.677341, -79.344159)",True,True,6873339457,Danforth 2 Bedroom Hard Loft In Church Conversion,$949000,6844623454,https://toronto.craigslist.org/tor/reb/d/toronto-danforth-2-bedroom-hard-loft-in/6873339457.html,
1286ft2,2,2019-04-23 20:54,"(43.66228, -79.340552)",True,True,6862548652,Queen East 2 Bedroom Hard Loft,$1179000,,https://toronto.craigslist.org/tor/reb/d/toronto-queen-east-2-bedroom-hard-loft/6862548652.html,
,2,2019-04-23 20:53,"(43.647072, -79.397153)",True,True,6862544027,Richmond And Spadina Gorgeous 2 Bedroom Stylish Loft,$1299900,,https://toronto.craigslist.org/tor/reb/d/toronto-richmond-and-spadina-gorgeous-2/6862544027.html,
1450ft2,1,2019-04-23 20:53,"(43.644523, -79.415402)",True,True,6862524518,Candy Factory 1 Bedroom Plus Den Authentic Hard Loft,$1359000,6833906495,https://toronto.craigslist.org/tor/reb/d/toronto-candy-factory-1-bedroom-plus/6862524518.html,
,2,2019-04-23 20:52,"(43.661063, -79.430446)",True,True,6856625604,Exquisite 4 Floor 3 Bedroom Church Conversion Loft With Terrace,$1395000,,https://toronto.craigslist.org/tor/reb/d/toronto-exquisite-4-floor-3-bedroom/6856625604.html,
,1,2019-04-23 20:50,"(43.665203, -79.38336)",True,True,6850332677,2 Storey 1 Bedroom Plus Den Exquisite Unit With 2 Huge Balconies,$1399888,6800729704,https://toronto.craigslist.org/tor/reb/d/toronto-2-storey-1-bedroom-plus-den/6850332677.html,
,1,2019-04-23 20:50,"(43.622701, -79.390537)",True,True,6873336895,Stunning Lakeshore Condo with Wrap Around Balcony!,$589900,,https://toronto.craigslist.org/tor/reb/d/toronto-stunning-lakeshore-condo-with/6873336895.html,Lakeshore / Parklawn
,4,2019-04-23 20:48,"(43.70427, -79.30002)",True,True,6862536076,Stunning New 4 Bedroom Home Listed With No Offer Date,$1499000,,https://toronto.craigslist.org/tor/reb/d/east-york-stunning-new-4-bedroom-home/6862536076.html,
,2,2019-04-23 20:48,"(43.661063, -79.430446)",True,True,6856639691,Jaw-Dropping Church Conversion Hard Loft,$2885000,,https://toronto.craigslist.org/tor/reb/d/toronto-jaw-dropping-church-conversion/6856639691.html,
1800ft2,2,2019-04-23 20:48,"(43.657528, -79.376716)",True,True,6873335839,Luxurious And Bright 2 Bedroom Loft With 2 Parking Spots,$1495000,6753325970,https://toronto.craigslist.org/tor/reb/d/toronto-luxurious-and-bright-2-bedroom/6873335839.html,
3325ft2,2,2019-04-23 20:46,"(43.668778, -79.390718)",True,True,6873334790,Elegant Yorkville 2 Bedroom Gorgeous Luxury Condo,$4600000,6760224005,https://toronto.craigslist.org/tor/reb/d/toronto-elegant-yorkville-2-bedroom/6873334790.html,
6000ft2,3,2019-04-23 20:46,"(43.6437, -79.397442)",True,True,6873334475,Largest Hard Loft Available In The City,$6700000,6719928972,https://toronto.craigslist.org/tor/reb/d/toronto-largest-hard-loft-available-in/6873334475.html,
3900ft2,3,2019-04-23 20:45,"(43.643715, -79.397378)",True,True,6873333937,Just Amazing Downtown Full Floor Penthouse With Private Pool,$6895000,6696487400,https://toronto.craigslist.org/tor/reb/d/toronto-just-amazing-downtown-full/6873333937.html,
,3,2019-04-23 20:19,"(43.681303, -79.449174)",True,True,6873318307,Corso Italia!  Gorgeous Renovated Semi!,$949000,,https://toronto.craigslist.org/tor/reb/d/toronto-corso-italia-gorgeous-renovated/6873318307.html,St Clair/Dufferin
2250ft2,2,2019-04-23 18:55,"(43.705199, -79.388877)",True,True,6873261238,Doesn’t get any Better than This!,$1949000,,https://toronto.craigslist.org/tor/reb/d/toronto-doesnt-get-any-better-than-this/6873261238.html,650 Mount Pleasant Rd (Chateau Royal Condos)
799ft2,1,2019-04-23 18:49,"(43.724788, -79.401941)",True,True,6873256573,::: Best Buy In The Neighborhood!!!! ::::,$718900,,https://toronto.craigslist.org/tor/reb/d/toronto-best-buy-in-the-neighborhood/6873256573.html,3018 Yonge St (3018 Yonge Condos)
899ft2,2,2019-04-23 18:41,"(43.711351, -79.391244)",True,True,6873250881,% % Buy Now... Gloat Later! ! ! % %,$649000,,https://toronto.craigslist.org/tor/reb/d/toronto-buy-now-gloat-later/6873250881.html,900 Mount Pleasant Rd
799ft2,2,2019-04-23 18:36,"(43.709626, -79.390595)",True,True,6873242729,START PACKING! LET'S MAKE A DEAL...FAST!,$668000,,https://toronto.craigslist.org/tor/reb/d/toronto-start-packing-lets-make-dealfast/6873242729.html,30 Roehampton Ave (30 Minto Roe)
799ft2,2,2019-04-23 18:35,"(43.710584, -79.393979)",True,True,6873246500,~``GREAT CONDO AT AN AMAZING PRICE``~ // Don't Hesitate!!! //,$709000,,https://toronto.craigslist.org/tor/reb/d/toronto-great-condo-at-an-amazing-price/6873246500.html,88 Broadway Ave (88 On Broadway Condos)
699ft2,1,2019-04-23 18:32,"(43.648898, -79.393486)",True,True,6873235983,WHAT A GREAT INVESTMENT,$599999,,https://toronto.craigslist.org/tor/reb/d/toronto-what-great-investment/6873235983.html,101 Peter St (Peter Street Condos)
899ft2,1,2019-04-23 18:20,"(43.648086, -79.394826)",True,True,6873229867,^^^^^2 Level Loft^^^^^High Ceilings,$719900,,https://toronto.craigslist.org/tor/reb/d/toronto-2-level-lofthigh-ceilings/6873229867.html,388 Richmond St W (District Lofts)
,,2019-04-23 18:14,"(43.673785, -79.320931)",True,True,6873230369,"NEED TO SELL, BUY OR LEASE YOUR HOME?",$0,,https://toronto.craigslist.org/tor/reb/d/toronto-need-to-sell-buy-or-lease-your/6873230369.html,woodbine/queen
,3,2019-04-23 18:13,"(43.818278, -79.279817)",True,True,6873229937,"96 Pondtail Dr, Toronto Ontario M1V 1Z2",$799900,,https://toronto.craigslist.org/tor/reo/d/scarborough-96-pondtail-dr-toronto/6873229937.html,"96 Pondtail Dr, Toronto Ontario M1V 1Z2"
,3,2019-04-23 18:07,"(43.645952, -79.383798)",True,True,6873224830,)))) THIS CONDO SCREAMS STYLE & LUXURY!!! ((((,$1850000,,https://toronto.craigslist.org/tor/reb/d/toronto-this-condo-screams-style-luxury/6873224830.html,Toronto
899ft2,2,2019-04-23 18:07,"(43.642853, -79.393036)",True,True,6873219819,"~~~ OUTSTANDING LAYOUT, CLOSE TO TRANSIT! ~~~",$775000,,https://toronto.craigslist.org/tor/reb/d/toronto-outstanding-layout-close-to/6873219819.html,373 Front St W (Matrix Condos)
,2,2019-04-23 18:05,"(43.7706, -79.413161)",True,True,6873171082,Brand New 2 Bedrooms And 2 Baths Unit In North York,$2650,,https://toronto.craigslist.org/tor/reb/d/north-york-brand-new-2-bedrooms-and-2/6873171082.html,Toronto
,2,2019-04-23 18:02,"(43.639393, -79.537269)",True,True,6873220827,Spacious 2 Bedroom Plus Den Suite With Huge Outdoor Terrace,$2800,,https://toronto.craigslist.org/tor/reb/d/etobicoke-spacious-2-bedroom-plus-den/6873220827.html,Toronto
699ft2,1,2019-04-23 18:02,"(43.649247, -79.377633)",True,True,6873212560,* * *WORTH EVERY PENNY,$625000,,https://toronto.craigslist.org/tor/reb/d/toronto-worth-every-penny/6873212560.html,7 King St E (Metropole Condos)
,2,2019-04-23 17:59,"(43.651082, -79.440045)",True,True,6873218338,Lovely Unit Freshly Painted W/Modern Colors,$2675,,https://toronto.craigslist.org/tor/reb/d/toronto-lovely-unit-freshly-painted/6873218338.html,Toronto
699ft2,1,2019-04-23 17:56,"(43.652283, -79.359639)",True,True,6873216313,^^Take the Landlord off the Payroll^^,$579900,,https://toronto.craigslist.org/tor/reb/d/toronto-take-the-landlord-off-the/6873216313.html,361 Front St W (Matrix Condos)
,2,2019-04-23 17:55,"(43.651082, -79.440045)",True,True,6873215351,Stunning Upper 2 Floors Entail 2 Bedrooms And 1 Bath,$2775,,https://toronto.craigslist.org/tor/reb/d/toronto-stunning-upper-2-floors-entail/6873215351.html,Toronto
,2,2019-04-23 17:49,"(43.7706, -79.413161)",True,True,6873210665,Brand New Never Lived-In Unit On 26th Floor,$2700,,https://toronto.craigslist.org/tor/reb/d/north-york-brand-new-never-lived-in/6873210665.html,Toronto
699ft2,1,2019-04-23 17:47,"(43.643412, -79.391261)",True,True,6873202040,~~~~~~~~~~~~~~Deal of the Day~~,$639000,,https://toronto.craigslist.org/tor/reb/d/toronto-deal-of-the-day/6873202040.html,20 Blue Jays Way (The Element Condos)
,2,2019-04-23 17:46,"(43.7706, -79.413161)",True,True,6873207573,Split 2-Bedroom Layout W/Floor To Ceiling Windows,$2650,,https://toronto.craigslist.org/tor/reb/d/north-york-split-2-bedroom-layout-floor/6873207573.html,Toronto
,2,2019-04-23 17:43,"(43.76755, -79.390792)",True,True,6873201461,Stunning Condo Unit With Big And Clear View Balcony,$2780,,https://toronto.craigslist.org/tor/reb/d/north-york-stunning-condo-unit-with-big/6873201461.html,Toronto
,2,2019-04-23 17:42,"(43.676811, -79.436646)",True,True,6873204979,Beautiful Luxury Split 2 Bedrooms Condo Unit,$2800,,https://toronto.craigslist.org/tor/reb/d/toronto-beautiful-luxury-split-2/6873204979.html,Toronto
,2,2019-04-23 17:35,"(43.847194, -79.458553)",True,True,6873198416,Be The First To Live In This Large Designer Renovated Unit,$2750,,https://toronto.craigslist.org/tor/reb/d/maple-be-the-first-to-live-in-this/6873198416.html,Vaughan
499ft2,1,2019-04-23 17:34,"(43.649449, -79.386898)",True,True,6873198126,~ ~ ~ ~ ~ A Sizzling Buy ~ ~ ~ ~ ~,$490000,,https://toronto.craigslist.org/tor/reb/d/toronto-sizzling-buy/6873198126.html,140 Simcoe St (University Plaza Condos)
,2,2019-04-23 17:31,"(43.756645, -79.405475)",True,True,6873195474,Luxurious Condo Built By Tridel At High Demand Yonge/Sheppard Area,$2750,,https://toronto.craigslist.org/tor/reb/d/north-york-luxurious-condo-built-by/6873195474.html,Toronto
,3,2019-04-23 17:31,"(43.695721, -79.306365)",True,True,6873195282,287 Chisholm Ave,$1179000,,https://toronto.craigslist.org/tor/reo/d/east-york-287-chisholm-ave/6873195282.html,Toronto
699ft2,1,2019-04-23 17:30,"(43.639638, -79.39418)",True,True,6873194164,Condo For The First Time Home Buyer,$650000,,https://toronto.craigslist.org/tor/reb/d/toronto-condo-for-the-first-time-home/6873194164.html,11 Brunel Crt (West One CityPlace Condos)
,2,2019-04-23 17:28,"(43.7566, -79.406269)",True,True,6873192487,Gorgeous 2+1 Bedroom Stacked Condo Townhome,$2700,,https://toronto.craigslist.org/tor/reb/d/north-york-gorgeous-21-bedroom-stacked/6873192487.html,Toronto
1100ft2,2,2019-04-23 17:25,"(43.638098, -79.405119)",True,True,6873190395,Amazing Location Steps To Transit,$849900,,https://toronto.craigslist.org/tor/reb/d/toronto-amazing-location-steps-to/6873190395.html,15 Fort York Blvd (N2 CityPlace Condos)
,2,2019-04-23 17:25,"(43.628947, -79.39442)",True,True,6873184802,Fabulous Work And Live 2 Bedrooms With 12 Ft Ceiling,$2699,,https://toronto.craigslist.org/tor/reb/d/toronto-fabulous-work-and-live-2/6873184802.html,Toronto
,2,2019-04-23 17:15,"(43.6075, -79.5013)",True,True,6873181194,Jade Waterfront Condo For Lease,$2650,,https://toronto.craigslist.org/tor/reb/d/etobicoke-jade-waterfront-condo-for/6873181194.html,Toronto
,2,2019-04-23 17:14,"(43.670383, -79.448587)",True,True,6873180273,++ Historic 2-Storey Hard LOFT Conversion - 2 Beds / 2 Baths ++,$824900,,https://toronto.craigslist.org/tor/reb/d/toronto-historic-2-storey-hard-loft/6873180273.html,Lansdowne and Davenport
,2,2019-04-23 17:10,"(43.777806, -79.417299)",True,True,6873176821,Large 2 Bedroom With 2 Washroom Condo,$2650,,https://toronto.craigslist.org/tor/reb/d/north-york-large-2-bedroom-with-2/6873176821.html,Toronto
,2,2019-04-23 16:48,"(43.66355, -79.341209)",True,True,6873158085,Well Maintained 3-Storey Stacked Townhouse,$2600,,https://toronto.craigslist.org/tor/reb/d/toronto-well-maintained-3-storey/6873158085.html,Toronto
,2,2019-04-23 16:40,"(43.656817, -79.375002)",True,True,6873151634,Quiet & Bright 2 Bedroom 2 Bath Unit,$2600,,https://toronto.craigslist.org/tor/reb/d/toronto-quiet-bright-2-bedroom-2-bath/6873151634.html,Toronto
,2,2019-04-23 15:58,"(43.65182, -79.355922)",True,True,6873113064,455 Front Street East #N406 | Canary District | Toronto,$739900,,https://toronto.craigslist.org/tor/reb/d/toronto-455-front-street-east-n406/6873113064.html,455 Front Street East
